"fecha_vigencia","precio","provincia","localidad","direccion"
"13/12/2023",659,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"13/12/2023",659,"MISIONES","POSADAS","AV. SANTA CATALINA 5235 Y FRANCIA"
"01/02/2024",885,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"01/02/2024",885,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"01/04/2024",997,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"01/04/2024",997,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"01/05/2024",1037,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"01/05/2024",1037,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"01/06/2024",1079,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"01/06/2024",1079,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"01/07/2024",1111,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"01/07/2024",1111,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"02/03/2024",952,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"02/03/2024",952,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"03/01/2024",831,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"03/01/2024",831,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
"08/12/2023",485,"MISIONES","SANTA ANA","CRUCE RUTA NAC 12 Y PROV 103"
